English|Deutsch|Français|Español|Italiano
Archive Keeper|Archivhüter|Gardien des archives|Guardián del archivo|Custode dell’archivio
Sunforged Elite|Sonnenelite|Élite solaire|Élite solar|Élite solare
THE LAST WARDEN|DER LETZTE WÄCHTER|LE DERNIER GARDIEN|EL ÚLTIMO GUARDIÁN|L’ULTIMO CUSTODE
WARDEN|WÄCHTER|GARDIEN|GUARDIÁN|CUSTODE
SENTINEL|WÄCHTER|SENTINELLE|CENTINELA|SENTINELLA
CPU  •  %s  •  +%d COINS|CPU  •  %s  •  +%d MÜNZEN|IA  •  %s  •  +%d PIÈCES|IA  •  %s  •  +%d MONEDAS|IA  •  %s  •  +%d MONETE
DUEL|DUELL|DUEL|DUELO|DUELLO
PREPARE >|VORBEREITEN >|SE PRÉPARER >|PREPARAR >|PREPARATI >
Armor and heavy strikes. Break armor; keep a shield.|Rüstung und schwere Schläge. Brich die Rüstung; halte den Schild bereit.|Armure et coups puissants. Brisez l’armure ; gardez un bouclier.|Armadura y golpes fuertes. Rompe la armadura y guarda un escudo.|Armatura e colpi potenti. Spezza l’armatura; conserva lo scudo.
Armor and healing. Break armor; interrupt heals.|Rüstung und Heilung. Brich die Rüstung; unterbrich Heilungen.|Armure et soins. Brisez l’armure ; interrompez les soins.|Armadura y curación. Rompe la armadura e interrumpe curaciones.|Armatura e cure. Spezza l’armatura; interrompi le cure.
Attack, heal, heavy strike. Read the cycle; break armor.|Angriff, Heilung, schwerer Schlag. Beachte den Zyklus; brich die Rüstung.|Attaque, soin, coup puissant. Suivez le cycle ; brisez l’armure.|Ataque, cura, golpe fuerte. Sigue el ciclo y rompe la armadura.|Attacco, cura, colpo potente. Segui il ciclo; spezza l’armatura.
Every second hit is heavy. Save your shield.|Jeder zweite Schlag ist schwer. Spare deinen Schild.|Un coup sur deux est puissant. Gardez votre bouclier.|Cada segundo golpe es fuerte. Reserva tu escudo.|Un colpo su due è potente. Conserva lo scudo.
Every second hit is heavy. Save Aegis.|Jeder zweite Schlag ist schwer. Spare den Schild.|Un coup sur deux est puissant. Gardez l’Égide.|Cada segundo golpe es fuerte. Reserva Égida.|Un colpo su due è potente. Conserva Egida.
Healing every other turn. Use Arc or Seal.|Heilt jede zweite Runde. Nutze Bogen oder Siegel.|Se soigne un tour sur deux. Utilisez Arc ou Sceau.|Se cura cada dos turnos. Usa Arco o Sello.|Si cura ogni due turni. Usa Arco o Sigillo.
Every second turn heals. Interrupt with Arc.|Heilt jede zweite Runde. Unterbrich mit dem Bogen.|Un soin tous les deux tours. Interrompez avec Arc.|Se cura cada dos turnos. Interrumpe con Arco.|Si cura ogni due turni. Interrompi con Arco.
Armor halves damage. Break it with a 6-tile word.|Rüstung halbiert Schaden. Brich sie mit einem Wort aus 6 Feldern.|L’armure réduit les dégâts de moitié. Brisez-la avec un mot de 6 cases.|La armadura reduce el daño a la mitad. Rómpela con 6 fichas.|L’armatura dimezza i danni. Spezzala con una parola di 6 tessere.
Find words to charge your abilities.|Finde Wörter, um Fähigkeiten aufzuladen.|Trouvez des mots pour charger vos pouvoirs.|Encuentra palabras para cargar habilidades.|Trova parole per caricare le abilità.
Enemy sealed for 20s|Gegner für 20s versiegelt|Ennemi scellé pendant 20s|Enemigo sellado durante 20s|Nemico sigillato per 20s
Seal prevented healing|Siegel verhinderte Heilung|Le sceau a empêché le soin|El sello impidió la curación|Il sigillo ha impedito la cura
%s activated|%s aktiviert|%s activé|%s activado|%s attivato
Pulse and Breach share upgrades|Impuls und Durchbruch teilen Verbesserungen|Impulsion et Brèche partagent les améliorations|Pulso y Brecha comparten mejoras|Impulso e Breccia condividono i miglioramenti
Armor broken!|Rüstung gebrochen!|Armure brisée !|¡Armadura rota!|Armatura spezzata!
Breach fired!|Durchbruch abgefeuert!|Brèche lancée !|¡Brecha disparada!|Breccia lanciata!
Enemy healed. Use Arc before the next heal.|Gegner geheilt. Nutze den Bogen vor der nächsten Heilung.|L’ennemi s’est soigné. Utilisez Arc avant le prochain soin.|El enemigo se curó. Usa Arco antes de la siguiente cura.|Il nemico si è curato. Usa Arco prima della prossima cura.
Win here to unlock BREACH|Gewinne hier für DURCHBRUCH|Gagnez ici pour débloquer BRÈCHE|Gana aquí para desbloquear BRECHA|Vinci qui per sbloccare BRECCIA
Break armor • 6 less damage|Bricht Rüstung • 6 weniger Schaden|Brise l’armure • 6 dégâts en moins|Rompe armadura • 6 menos de daño|Spezza l’armatura • 6 danni in meno
EQUIP PULSE|IMPULS AUSRÜSTEN|ÉQUIPER IMPULSION|EQUIPAR PULSO|EQUIPAGGIA IMPULSO
EQUIP BREACH|DURCHBRUCH AUSRÜSTEN|ÉQUIPER BRÈCHE|EQUIPAR BRECHA|EQUIPAGGIA BRECCIA
BREACH: defeat the Bronze Warden|DURCHBRUCH: Besiege den Bronzewächter|BRÈCHE : battez le Gardien de bronze|BRECHA: derrota al Guardián de Bronce|BRECCIA: sconfiggi il Custode di bronzo
BREACH UNLOCKED — equip in Arsenal|DURCHBRUCH FREI — im Arsenal ausrüsten|BRÈCHE DÉBLOQUÉE — équipez-la dans l’arsenal|BRECHA DESBLOQUEADA — equípala en el arsenal|BRECCIA SBLOCCATA — equipaggiala nell’arsenale
Arc fired!|Bogen abgefeuert!|Arc lancé !|¡Arco disparado!|Arco lanciato!
Direct energy blast|Direkter Energieschlag|Décharge d’énergie directe|Descarga de energía directa|Scarica d’energia diretta
Block the next attack|Blockiert den nächsten Angriff|Bloque la prochaine attaque|Bloquea el siguiente ataque|Blocca il prossimo attacco
Strike and interrupt|Schlägt zu und unterbricht|Frappe et interrompt|Golpea e interrumpe|Colpisce e interrompe
Restore your health|Stellt Leben wieder her|Restaure votre vie|Restaura tu salud|Ripristina la salute
  •  %d ENERGY|  •  %d ENERGIE|  •  %d ÉNERGIE|  •  %d ENERGÍA|  •  %d ENERGIA
FROZEN  %.1fs|GESTOPPT  %.1fs|GELÉ  %.1fs|CONGELADO  %.1fs|BLOCCATO  %.1fs
INCOMING  %.1fs|ANGRIFF IN  %.1fs|ATTAQUE DANS  %.1fs|ATAQUE EN  %.1fs|ATTACCO TRA  %.1fs
Next attack  %ds|Nächster Angriff  %ds|Prochaine attaque  %ds|Próximo ataque  %ds|Prossimo attacco  %ds
%d words  •  %.0fs|%d Wörter  •  %.0fs|%d mots  •  %.0fs|%d palabras  •  %.0fs|%d parole  •  %.0fs
Best word: %s|Bestes Wort: %s|Meilleur mot : %s|Mejor palabra: %s|Parola migliore: %s
%d words found   •   Best: %s|%d Wörter gefunden   •   Bestes: %s|%d mots trouvés   •   Meilleur : %s|%d palabras encontradas   •   Mejor: %s|%d parole trovate   •   Migliore: %s
Your discoveries will appear here after a duel.|Deine Entdeckungen erscheinen hier nach einem Duell.|Vos découvertes apparaîtront ici après un duel.|Tus descubrimientos aparecerán aquí tras un duelo.|Le tue scoperte appariranno qui dopo un duello.
WORDS BECOME POWER|WÖRTER WERDEN KRAFT|LES MOTS DEVIENNENT PUISSANCE|LAS PALABRAS SON PODER|LE PAROLE DIVENTANO POTERE
Link neighboring letters, including diagonals.|Verbinde benachbarte Buchstaben, auch diagonal.|Reliez les lettres voisines, même en diagonale.|Une letras vecinas, también en diagonal.|Collega lettere vicine, anche in diagonale.
Release to submit; drag back to undo a letter.|Loslassen zum Bestätigen; zurückziehen zum Entfernen.|Relâchez pour valider ; revenez pour retirer une lettre.|Suelta para confirmar; retrocede para quitar una letra.|Rilascia per confermare; torna indietro per togliere una lettera.
Colors charge the matching abilities. Tap READY.|Farben laden passende Fähigkeiten. Tippe auf BEREIT.|Les couleurs chargent les pouvoirs associés. Touchez PRÊT.|Los colores cargan sus habilidades. Toca LISTO.|I colori caricano le abilità corrispondenti. Tocca PRONTO.
Long words hit harder. Find each word once per duel.|Lange Wörter treffen härter. Jedes Wort zählt einmal pro Duell.|Les mots longs frappent plus fort. Chaque mot compte une fois par duel.|Las palabras largas golpean más. Cada palabra vale una vez por duelo.|Le parole lunghe colpiscono più forte. Ogni parola vale una volta per duello.
Tap letters + ✓ also works. HINT reveals a path.|Auch Antippen + ✓ geht. TIPP zeigt einen Weg.|Touchez les lettres puis ✓. INDICE révèle un chemin.|También puedes tocar letras + ✓. PISTA muestra una ruta.|Puoi toccare lettere + ✓. INDIZIO rivela un percorso.
Link any letters. Each tile can be used once.|Verbinde beliebige Buchstaben. Jedes Feld einmal.|Reliez librement les lettres. Une seule fois par case.|Une cualquier letra. Cada ficha se usa una vez.|Collega qualsiasi lettera. Ogni tessera si usa una volta.
New duels use these rules. Saved duels keep theirs.|Neue Duelle nutzen diese Regeln. Gespeicherte behalten ihre.|Pour les nouveaux duels. Les duels sauvegardés gardent leurs règles.|Los nuevos duelos usan estas reglas. Los guardados conservan las suyas.|I nuovi duelli usano queste regole. Quelli salvati mantengono le proprie.
A new word. A better moment. Try again.|Ein neues Wort. Ein besserer Moment. Versuch es erneut.|Un nouveau mot. Un meilleur moment. Réessayez.|Una palabra nueva. Un momento mejor. Inténtalo otra vez.|Una parola nuova. Un momento migliore. Riprova.
%d words  •  Best: %s|%d Wörter  •  Bestes: %s|%d mots  •  Meilleur : %s|%d palabras  •  Mejor: %s|%d parole  •  Migliore: %s
+%d coins   •   %.0f seconds|+%d Münzen   •   %.0f Sekunden|+%d pièces   •   %.0f secondes|+%d monedas   •   %.0f segundos|+%d monete   •   %.0f secondi
The observatory is free. Campaign complete!|Die Sternwarte ist frei. Kampagne geschafft!|L’observatoire est libéré. Campagne terminée !|¡El observatorio es libre. Campaña completada!|L’osservatorio è libero. Campagna completata!
START A NEW DUEL?|NEUES DUELL STARTEN?|COMMENCER UN DUEL ?|¿EMPEZAR OTRO DUELO?|INIZIARE UN NUOVO DUELLO?
Your unfinished duel will be replaced.|Dein laufendes Duell wird ersetzt.|Le duel en cours sera remplacé.|Se reemplazará el duelo pendiente.|Il duello in corso verrà sostituito.
Your coins and upgrades are safe.|Münzen und Verbesserungen bleiben erhalten.|Vos pièces et améliorations sont conservées.|Tus monedas y mejoras se conservan.|Monete e miglioramenti restano al sicuro.
LEAVE THE GAME?|SPIEL VERLASSEN?|QUITTER LE JEU ?|¿SALIR DEL JUEGO?|USCIRE DAL GIOCO?
Your progress has been saved.|Dein Fortschritt wurde gespeichert.|Votre progression est sauvegardée.|Tu progreso se ha guardado.|I tuoi progressi sono stati salvati.
%s upgraded to level %d|%s auf Stufe %d verbessert|%s amélioré au niveau %d|%s mejorado al nivel %d|%s migliorato al livello %d
%s  •  %d damage%s|%s  •  %d Schaden%s|%s  •  %d dégâts%s|%s  •  %d daño%s|%s  •  %d danni%s
  •  Board refreshed|  •  Neues Feld|  •  Grille renouvelée|  •  Tablero renovado|  •  Tabellone rinnovato
%s needs %d matching energy|%s benötigt %d passende Energie|%s nécessite %d énergies associées|%s necesita %d de energía de su color|%s richiede %d energia del suo colore
Your shield is already active|Dein Schild ist bereits aktiv|Votre bouclier est déjà actif|Tu escudo ya está activo|Il tuo scudo è già attivo
Health is already full|Leben ist bereits voll|La vie est déjà au maximum|La salud ya está llena|La salute è già al massimo
Pulse fired!|Impuls abgefeuert!|Impulsion lancée !|¡Pulso disparado!|Impulso lanciato!
Shield ready|Schild bereit|Bouclier prêt|Escudo listo|Scudo pronto
Enemy attack interrupted|Gegnerangriff unterbrochen|Attaque ennemie interrompue|Ataque enemigo interrumpido|Attacco nemico interrotto
Health restored|Leben wiederhergestellt|Vie restaurée|Salud restaurada|Salute ripristinata
Shield absorbed the attack|Schild hat den Angriff absorbiert|Le bouclier a absorbé l’attaque|El escudo absorbió el ataque|Lo scudo ha assorbito l’attacco
Enemy hit  −%d HP|Gegnertreffer  −%d LP|Coup ennemi  −%d PV|Golpe enemigo  −%d PV|Colpo nemico  −%d PV
Time frozen — keep finding words|Zeit gestoppt — finde weiter Wörter|Temps figé — continuez à trouver des mots|Tiempo congelado — sigue buscando palabras|Tempo fermo — continua a trovare parole
Fresh board — new possibilities|Neues Feld — neue Möglichkeiten|Nouvelle grille — nouvelles possibilités|Tablero nuevo — nuevas posibilidades|Nuovo tabellone — nuove possibilità
Next word gives double energy|Nächstes Wort gibt doppelte Energie|Le prochain mot double l’énergie|La siguiente palabra da energía doble|La prossima parola dà energia doppia
Try %s — follow the highlighted letters|Versuche %s — folge den markierten Buchstaben|Essayez %s — suivez les lettres éclairées|Prueba %s — sigue las letras resaltadas|Prova %s — segui le lettere illuminate
Old duel could not be restored. Start a new one.|Altes Duell nicht wiederherstellbar. Starte ein neues.|Impossible de restaurer le duel. Commencez-en un autre.|No se pudo restaurar el duelo. Empieza uno nuevo.|Impossibile ripristinare il duello. Iniziane uno nuovo.
Use 3–20 letters, numbers, spaces, _ or -.|Nutze 3–20 Buchstaben, Ziffern, Leerzeichen, _ oder -.|Utilisez 3 à 20 lettres, chiffres, espaces, _ ou -.|Usa 3–20 letras, números, espacios, _ o -.|Usa 3–20 lettere, numeri, spazi, _ o -.
Could not save profile.|Profil konnte nicht gespeichert werden.|Impossible d’enregistrer le profil.|No se pudo guardar el perfil.|Impossibile salvare il profilo.
Connecting…|Verbindung…|Connexion…|Conectando…|Connessione…
Could not start. Check connection and server setup.|Start fehlgeschlagen. Prüfe die Verbindung.|Démarrage impossible. Vérifiez la connexion.|No se pudo iniciar. Revisa la conexión.|Avvio non riuscito. Controlla la connessione.
Today's result is already verified.|Heutiges Ergebnis ist bereits bestätigt.|Le score du jour est déjà vérifié.|El resultado de hoy ya está verificado.|Il risultato di oggi è già verificato.
Saved attempt is invalid.|Gespeicherter Versuch ungültig.|La tentative sauvegardée est invalide.|El intento guardado no es válido.|Il tentativo salvato non è valido.
Could not save attempt.|Versuch konnte nicht gespeichert werden.|Impossible de sauvegarder la tentative.|No se pudo guardar el intento.|Impossibile salvare il tentativo.
Invalid, repeated or too short.|Ungültig, wiederholt oder zu kurz.|Invalide, déjà trouvé ou trop court.|No válida, repetida o muy corta.|Non valida, ripetuta o troppo corta.
Practice only — not on the global list.|Nur Übung — ohne Weltrangliste.|Entraînement — hors classement mondial.|Solo práctica — sin clasificación global.|Solo allenamento — fuori classifica globale.
Verifying result…|Ergebnis wird geprüft…|Vérification du score…|Verificando resultado…|Verifica risultato…
Verified on the global leaderboard.|In der Weltrangliste bestätigt.|Vérifié au classement mondial.|Verificado en la clasificación global.|Verificato nella classifica globale.
Submission expired. This score is not ranked.|Sendefrist abgelaufen. Ergebnis nicht gewertet.|Délai dépassé. Ce score n’est pas classé.|Plazo vencido. Este resultado no se clasifica.|Invio scaduto. Il risultato non è in classifica.
Not uploaded. Retry within 30 seconds of the end.|Nicht gesendet. Innerhalb von 30 Sekunden nach Ende wiederholen.|Non envoyé. Réessayez dans les 30 secondes après la fin.|No enviado. Reintenta en los 30 segundos tras el final.|Non inviato. Riprova entro 30 secondi dalla fine.
YOUR PROFILE|DEIN PROFIL|VOTRE PROFIL|TU PERFIL|IL TUO PROFILO
120 seconds · no hints or upgrades|120 Sekunden · ohne Tipps oder Verbesserungen|120 secondes · sans indices ni améliorations|120 segundos · sin pistas ni mejoras|120 secondi · senza indizi né miglioramenti
One ranked attempt per day/category|Ein gewerteter Versuch pro Tag/Kategorie|Un essai classé par jour/catégorie|Un intento clasificado por día/categoría|Un tentativo classificato al giorno/categoria
Online service is not connected yet.|Online-Dienst noch nicht verbunden.|Service en ligne non connecté.|Servicio en línea aún sin conectar.|Servizio online non ancora connesso.
PREVIEW · test scores are not published|VORSCHAU · Testergebnisse werden nicht veröffentlicht|APERÇU · les scores de test ne sont pas publiés|VISTA PREVIA · no se publican resultados de prueba|ANTEPRIMA · i risultati di prova non vengono pubblicati
No connection. Your result stays saved.\nTap here to retry.|Keine Verbindung. Ergebnis bleibt gespeichert.\nHier tippen zum Wiederholen.|Aucune connexion. Votre score est conservé.\nTouchez ici pour réessayer.|Sin conexión. Tu resultado está guardado.\nToca aquí para reintentar.|Nessuna connessione. Il risultato è salvato.\nTocca qui per riprovare.
Personal records on this device|Persönliche Rekorde auf diesem Gerät|Records personnels sur cet appareil|Récords personales de este dispositivo|Record personali su questo dispositivo
%d pts · wave %d|%d Pkt. · Welle %d|%d pts · vague %d|%d pts · oleada %d|%d pt · ondata %d
OFFLINE  •  SOLO CAMPAIGN|OFFLINE  •  SOLOKAMPAGNE|HORS LIGNE  •  CAMPAGNE SOLO|SIN CONEXIÓN  •  CAMPAÑA INDIVIDUAL|OFFLINE  •  CAMPAGNA SINGOLA
CAMPAIGN  •  DAILY CHALLENGE|KAMPAGNE  •  TAGESAUFGABE|CAMPAGNE  •  DÉFI DU JOUR|CAMPAÑA  •  DESAFÍO DIARIO|CAMPAGNA  •  SFIDA GIORNALIERA
An original offline word-combat adventure.|Ein eigenständiges Offline-Wortkampfabenteuer.|Une aventure originale de combats de mots hors ligne.|Una aventura original de combate con palabras sin conexión.|Un’avventura originale di battaglie di parole offline.
Built with Godot 4.7.2 (MIT).|Erstellt mit Godot 4.7.2 (MIT).|Créé avec Godot 4.7.2 (MIT).|Creado con Godot 4.7.2 (MIT).|Creato con Godot 4.7.2 (MIT).
Original AI-assisted art and synthesized sound.|Originale KI-gestützte Grafik und synthetischer Klang.|Illustrations originales assistées par IA et sons synthétisés.|Arte original asistido por IA y sonido sintetizado.|Grafica originale assistita da IA e suoni sintetizzati.
Full notices included in the project and app package.|Vollständige Lizenzen im Projekt und App-Paket.|Licences complètes dans le projet et l’application.|Licencias completas en el proyecto y la aplicación.|Licenze complete nel progetto e nell’applicazione.
Dictionaries: SCOWL / LibreOffice. See included licenses.|Wörterbücher: SCOWL / LibreOffice. Lizenzen beiliegend.|Dictionnaires : SCOWL / LibreOffice. Licences incluses.|Diccionarios: SCOWL / LibreOffice. Licencias incluidas.|Dizionari: SCOWL / LibreOffice. Licenze incluse.
Music: Joth / TAD · CC0 recordings.|Musik: Joth / TAD · CC0-Aufnahmen.|Musique : Joth / TAD · enregistrements CC0.|Música: Joth / TAD · grabaciones CC0.|Musica: Joth / TAD · registrazioni CC0.
Impact plus three burning ticks.|Treffer mit drei Brandschüben.|Impact suivi de trois brûlures.|Impacto y tres pulsos de quemadura.|Impatto e tre impulsi di bruciatura.
Burn bypasses armor; refreshes.|Brand umgeht Rüstung; wird erneuert.|La brûlure ignore l’armure ; se renouvelle.|La quemadura ignora armadura; se renueva.|Il fuoco ignora l’armatura; si rinnova.
Last word adds up to 30 damage.|Letztes Wort gibt bis zu 30 Schaden.|Le dernier mot ajoute jusqu’à 30 dégâts.|La última palabra añade hasta 30 de daño.|L’ultima parola aggiunge fino a 30 danni.
Longer words create a stronger shot.|Längere Wörter verstärken den Schuss.|Les mots longs renforcent le tir.|Las palabras largas refuerzan el disparo.|Le parole lunghe rafforzano il colpo.
One shield pool for two hits.|Ein Schildvorrat für zwei Treffer.|Un bouclier partagé sur deux coups.|Un escudo compartido para dos golpes.|Uno scudo condiviso per due colpi.
Second hit uses the remaining shield.|Zweiter Treffer nutzt den Restschild.|Le second coup utilise le reste.|El segundo golpe usa el escudo restante.|Il secondo colpo usa lo scudo rimasto.
Damage heals you by half on impact.|Die Hälfte des Schadens heilt dich.|La moitié des dégâts vous soigne.|La mitad del daño restaura tu salud.|Metà dei danni ripristina la salute.
Armor and remaining enemy HP matter.|Rüstung und Restleben beeinflussen es.|L’armure et la vie restante comptent.|Influyen la armadura y la salud restante.|Contano armatura e salute nemica rimasta.
A direct energy blast.|Ein direkter Energieschlag.|Une décharge d’énergie directe.|Una descarga de energía directa.|Una scarica d’energia diretta.
Fast, reliable damage.|Schneller, zuverlässiger Schaden.|Des dégâts rapides et fiables.|Daño rápido y fiable.|Danni rapidi e affidabili.
Breaks armor on impact.|Bricht Rüstung beim Treffer.|Brise l’armure à l’impact.|Rompe la armadura al impactar.|Spezza l’armatura all’impatto.
6 less damage than Pulse.|6 Schaden weniger als Impuls.|6 dégâts de moins qu’Impulsion.|6 menos de daño que Pulso.|6 danni in meno di Impulso.
Absorbs the next attack.|Absorbiert den nächsten Angriff.|Absorbe la prochaine attaque.|Absorbe el siguiente ataque.|Assorbe il prossimo attacco.
Unused protection expires.|Ungenutzter Schutz verfällt.|La protection inutilisée expire.|La protección sobrante caduca.|La protezione inutilizzata scade.
Shields the next attack.|Schützt vor dem nächsten Angriff.|Protège de la prochaine attaque.|Protege del siguiente ataque.|Protegge dal prossimo attacco.
Reflects half the absorbed hit.|Wirft die Hälfte des Treffers zurück.|Renvoie la moitié du coup absorbé.|Devuelve la mitad del golpe absorbido.|Riflette metà del colpo assorbito.
Strikes and delays the enemy.|Trifft und verzögert den Gegner.|Frappe et retarde l’ennemi.|Golpea y retrasa al enemigo.|Colpisce e rallenta il nemico.
Interrupts a pending heal.|Unterbricht angekündigte Heilung.|Interrompt un soin imminent.|Interrumpe una curación pendiente.|Interrompe una cura imminente.
Marks the enemy for 20s.|Markiert den Gegner für 20s.|Marque l’ennemi pendant 20s.|Marca al enemigo durante 20s.|Segna il nemico per 20s.
Cancels their next healing turn.|Verhindert die nächste Heilung.|Annule son prochain tour de soin.|Anula su siguiente turno de curación.|Annulla il prossimo turno di cura.
Restores health immediately.|Stellt sofort Leben wieder her.|Restaure la vie immédiatement.|Restaura salud de inmediato.|Ripristina subito la salute.
Best when danger is close.|Ideal bei naher Gefahr.|Idéal quand le danger approche.|Ideal cuando se acerca el peligro.|Ideale quando il pericolo è vicino.
Heals now and every 2s for 8s.|Heilt sofort und alle 2s für 8s.|Soigne puis toutes les 2s pendant 8s.|Cura ahora y cada 2s durante 8s.|Cura subito e ogni 2s per 8s.
Recasting refreshes the effect.|Erneuter Einsatz erneuert den Effekt.|Relancer renouvelle l’effet.|Reutilizar renueva el efecto.|Riutilizzarlo rinnova l’effetto.
Words of 7+ tiles deal +4 damage.|Wörter ab 7 Feldern: +4 Schaden.|Mots de 7 cases ou plus : +4 dégâts.|Palabras de 7 fichas o más: +4 daño.|Parole di almeno 7 tessere: +4 danni.
Passive. Campaign and Endless.|Passiv. Kampagne und Endlos.|Passif. Campagne et sans fin.|Pasivo. Campaña y sin fin.|Passivo. Campagna e infinito.
Stores 2 excess energy per color.|Speichert 2 Restenergie pro Farbe.|Stocke 2 énergies en trop par couleur.|Guarda 2 de energía extra por color.|Conserva 2 energie extra per colore.
Returns it after firing that ability.|Gibt sie nach Fähigkeitseinsatz zurück.|Les restitue après activation.|La devuelve tras usar la habilidad.|Le restituisce dopo l’abilità.
LEVEL %d REWARD|BELOHNUNG STUFE %d|RÉCOMPENSE NIVEAU %d|RECOMPENSA NIVEL %d|RICOMPENSA LIVELLO %d
HOW TO USE|ANWENDUNG|UTILISATION|CÓMO USAR|COME SI USA
Equip the artifact in the Arsenal before battle.|Rüste das Artefakt vor dem Kampf im Arsenal aus.|Équipez l’artefact dans l’arsenal avant le combat.|Equipa el artefacto en el arsenal antes de luchar.|Equipaggia l’artefatto nell’arsenale prima della battaglia.
Its effect is automatic; no energy is needed.|Wirkt automatisch; benötigt keine Energie.|Effet automatique ; aucune énergie nécessaire.|Su efecto es automático; no necesita energía.|L’effetto è automatico; non richiede energia.
gold|goldene|dorées|doradas|dorate
blue|blaue|bleues|azules|blu
purple|violette|violettes|moradas|viola
green|grüne|vertes|verdes|verdi
Equip in the Arsenal. Link %s letters to charge it.|Im Arsenal ausrüsten. Verbinde %s Buchstaben zum Laden.|Équipez dans l’arsenal. Reliez les lettres %s pour charger.|Equipa en el arsenal. Une letras %s para cargarlo.|Equipaggia nell’arsenale. Collega lettere %s per caricarlo.
At %d energy, tap its medallion during battle.|Bei %d Energie im Kampf auf das Medaillon tippen.|À %d énergies, touchez son médaillon pendant le combat.|Con %d de energía, toca su medallón en batalla.|A %d energia, tocca il medaglione durante la battaglia.
